variable,label,,values,2007,2008,2009,2010,2011,2012,2014,2016
hhld_sp_married_bro,Who live with you now? Spouse¡¦s married brother(s),98,Refuse to answer,b04b18,b04b18,b04b18,b04b18,b04b18,b04b18,b11b18,b11b18
hhld_sp_married_sis,Who live with you now? Spouse¡¦s married sister(s),98,Refuse to answer,b04b19,b04b19,b04b19,b04b19,b04b19,b04b19,b11b19,b11b19
hhld_sp_bro,Who live with you now? Spouse¡¦s single brother(s),98,Refuse to answer,b04b20,b04b20,b04b20,b04b20,b04b20,b04b20,b11b20,b11b20
hhld_sp_sis,Who live with you now? Spouse¡¦s single sister(s),98,Refuse to answer,b04b21,b04b21,b04b21,b04b21,b04b21,b04b21,b11b21,b11b21
hhld_grandfather,Who live with you now? Grandfather,98,Refuse to answer,b04b22,b04b22,b04b22,b04b22,b04b22,b04b22,b11b22,b11b22
hhld_grandmother,Who live with you now? Grandmother,98,Refuse to answer,b04b23,b04b23,b04b23,b04b23,b04b23,b04b23,b11b23,b11b23
hhld_maternal_grandfather,Who live with you now? Maternal Grandpa,98,Refuse to answer,b04b24,b04b24,b04b24,b04b24,b04b24,b04b24,b11b24,b11b24
hhld_maternal_grandmother,Who live with you now? Maternal Grandma,98,Refuse to answer,b04b25,b04b25,b04b25,b04b25,b04b25,b04b25,b11b25,b11b25
hhld_sp_grandfather,Who live with you now? Spouse¡¦s Grandfather,98,Refuse to answer,b04b26,b04b26,b04b26,b04b26,b04b26,b04b26,b11b26,b11b26
hhld_sp_grandmother,Who live with you now? Spouse¡¦s Grandmother,98,Refuse to answer,b04b27,b04b27,b04b27,b04b27,b04b27,b04b27,b11b27,b11b27
hhld_sp_maternal_grandfather,Who live with you now? Spouse¡¦s Maternal Grandpa,98,Refuse to answer,b04b28,b04b28,b04b28,b04b28,b04b28,b04b28,b11b28,b11b28
hhld_sp_maternal_grandmother,Who live with you now? Spouse¡¦s Maternal Grandma,98,Refuse to answer,b04b29,b04b29,b04b29,b04b29,b04b29,b04b29,b11b29,b11b29
hhld_grandchildren_ofson,Who live with you now? Grandchildren (son¡¦s child),98,Refuse to answer,b04b30,b04b30,b04b30,b04b30,b04b30,b04b30,b11b30,b11b30
hhld_grandchildren_ofdaugh,Who live with you now? Grandchildren (daughter's child),98,Refuse to answer,b04b31,b04b31,b04b31,b04b31,b04b31,b04b31,b11b31,b11b31
hhld_other_relatives,Who live with you now? Other relative(s),98,Refuse to answer,b04b32,b04b32,b04b32,b04b32,b04b32,b04b32,b11b32,b11b33
hhld_non_relatives,Who live with you now? Non-relatioves,95, More than 95 recorded 95 over.,b04b33,b04b33,b04b33,b04b33,b04b33,b04b33,b11b33,b11b34
,,96,Don¡¦t knows,,,,,,,,
,,98,Refuse to answer,,,,,,,,
ownership,residential status:The ownership?,0,skip,b08a,b08a,b08a,b08a,b08a,b08a,b06a,b06a
,,1,Self-owned,,,,,,,,
,,2,Rented,,,,,,,,
,,3,Borrowed,,,,,,,,
,,4,Public or company dormitory,,,,,,,,
,,5,Military dependents¡¦ village,,,,,,,,
,,6,Owned by parents,,,,,,,,
,,7,Owned by spouse¡¦s parents,,,,,,,,
,,8,Owned by children,,,,,,,,
,,9,Owned by children¡¦s spouse,,,,,,,,
,,97,Others,,,,,,,,
rent,residential status:Amount of rent?,999996,Don¡¦t knows ,b08b,b08b,b08b,b08b,b08b,b08b,b06b,b06b
,,0,Not applicable,,,,,,,,
,,1,Yes,,,,,,,,
,,2,No,,,,,,,,
,,6,Don¡¦t knows,,,,,,,,
n_children,How many children do you have?,98,Refuse to answer,b12,b12,b12,b12,b12,b12,b13,b15
child1_order,Children1:Birth order,0,skip ,b13ac1,b13ac1,b13ac1,b13ac1,b13ac1,b13ac1,b14ac1,b16ac1
child2_order,Children2:Birth order,0,skip,b13ac2,b13ac2,b13ac2,b13ac2,b13ac2,b13ac2,b14ac2,b16ac2
child3_order,Children3:Birth order,0, skip ,b13ac3,b13ac3,b13ac3,b13ac3,b13ac3,b13ac3,b14ac3,b16ac3
child4_order,Children4:Birth order,0, Skip ,b13ac4,b13ac4,b13ac4,b13ac4,b13ac4,b13ac4,b14ac4,b16ac4
child5_order,Children5:Birth order,0, Skip ,b13ac5,b13ac5,b13ac5,b13ac5,b13ac5,b13ac5,b14ac5,b16ac5
child6_order,Children6:Birth order,0, Skip ,b13ac6,b13ac6,b13ac6,b13ac6,b13ac6,b13ac6,b14ac6,b16ac6
child1_gender,Children1:Gender,0,skip ,b13bc1,b13bc1,b13bc1,b13bc1,b13bc1,b13bc1,b14bc1,b16bc1
,,1,Male,,,,,,,,
,,2,Female,,,,,,,,
,,8,Refuse to answer,,,,,,,,
child2_gender,Children2:Gender,0,skip,b13bc2,b13bc2,b13bc2,b13bc2,b13bc2,b13bc2,b14bc2,b16bc2
,,1,Male,,,,,,,,
,,2,Female,,,,,,,,
,,8,Refuse to answer,,,,,,,,
child3_gender,Children3:Gender,0, skip ,b13bc3,b13bc3,b13bc3,b13bc3,b13bc3,b13bc3,b14bc3,b16bc3
,,1,Male ,,,,,,,,
,,2, Female ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
child4_gender,Children4:Gender,0, Skip ,b13bc4,b13bc4,b13bc4,b13bc4,b13bc4,b13bc4,b14bc4,b16bc4
,,1,Male ,,,,,,,,
,,2, Female ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
child5_gender,Children5:Gender,0, Skip ,b13bc5,b13bc5,b13bc5,b13bc5,b13bc5,b13bc5,b14bc5,b16bc5
,,1,Male ,,,,,,,,
,,2, Female ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
child6_gender,Children6:Gender,0, Skip ,b13bc6,b13bc6,b13bc6,b13bc6,b13bc6,b13bc6,b14bc6,b16bc6
,,1,Male ,,,,,,,,
,,2, Female ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
child1_year,Children1:Birth year,0, skip ,b13c1c1,b13c1c1,b13c1c1,b13c1c1,b13c1c1,b13c1c1,b14c1c1,b16c1c1
,,996,Don¡¦t knows ,,,,,,,,
,,998, Refuse to answer,,,,,,,,
child2_year,Children2:Birth year,0, skip ,b13c1c2,b13c1c2,b13c1c2,b13c1c2,b13c1c2,b13c1c2,b14c1c2,b16c1c2
,,996,Don¡¦t knows,,,,,,,,
,,998,Refuse to answer,,,,,,,,
child3_year,Children3:Birth year,0, skip ,b13c1c3,b13c1c3,b13c1c3,b13c1c3,b13c1c3,b13c1c3,b14c1c3,b16c1c3
,,996, Don¡¦t knows ,,,,,,,,
,,998, Refuse to answer,,,,,,,,
child4_year,Children4:Birth year,0, Skip ,b13c1c4,b13c1c4,b13c1c4,b13c1c4,b13c1c4,b13c1c4,b14c1c4,b16c1c4
,,996, Don¡¦t knows ,,,,,,,,
,,998, Refuse to answer,,,,,,,,
child5_year,Children5:Birth year,0, Skip ,b13c1c5,b13c1c5,b13c1c5,b13c1c5,b13c1c5,b13c1c5,b14c1c5,b16c1c5
,,996, Don¡¦t knows ,,,,,,,,
,,998, Refuse to answer,,,,,,,,
child6_year,Children6:Birth year,0, Skip ,b13c1c6,b13c1c6,b13c1c6,b13c1c6,b13c1c6,b13c1c6,b14c1c6,b16c1c6
,,996, Don¡¦t knows ,,,,,,,,
,,998, Refuse to answer,,,,,,,,
child1_edu,Children1:The highest education,0,skip ,b13dc1,b13dc1,b13dc1,b13dc1,b13dc1,b13dc1,b14dc1,b16dc1
,,1,None,,,,,,,,
,,2,Self-educated,,,,,,,,
,,3,Elementary School,,,,,,,,
,,4,Junior High School,,,,,,,,
,,5,Junior Vocational School,,,,,,,,
,,6,Senior High School (General track),,,,,,,,
,,7,Senior High School (Vocational Track),,,,,,,,
,,8,Vocational High School,,,,,,,,
,,9,Junior College (5 years),,,,,,,,
,,10,Junior College (2 years),,,,,,,,
,,11,Junior College (3 years),,,,,,,,
,,12,Technical College,,,,,,,,
,,13,University or College,,,,,,,,
,,14,Master Degree,,,,,,,,
,,15,Doctoral Degree,,,,,,,,
,,96,Don¡¦t knows,,,,,,,,
,,97,Others,,,,,,,,
,,98,Refuse to answer,,,,,,,,
child2_edu,Children2:The highest education,0, skip ,b13dc2,b13dc2,b13dc2,b13dc2,b13dc2,b13dc2,b14dc2,b16dc2
,,1, None ,,,,,,,,
,,2, Self-educated ,,,,,,,,
,,3, Elementary School ,,,,,,,,
,,4, Junior High School ,,,,,,,,
,,5, Junior Vocational School ,,,,,,,,
,,6, Senior High School (General track) ,,,,,,,,
,,7, Senior High School (Vocational Track) ,,,,,,,,
,,8, Vocational High School ,,,,,,,,
,,9,Junior College (5 years) ,,,,,,,,
,,10, Junior College (2 years) ,,,,,,,,
,,11, Junior College (3 years) ,,,,,,,,
,,12, Technical College ,,,,,,,,
,,13, University or College ,,,,,,,,
,,14,Master Degree ,,,,,,,,
,,15, Doctoral Degree ,,,,,,,,
,,96, Don¡¦t knows ,,,,,,,,
,,97, Others ,,,,,,,,
,,98, Refuse to answer,,,,,,,,
,,99,Missing,,,,,,,,
child3_edu,Children3:The highest education,0, skip ,b13dc3,b13dc3,b13dc3,b13dc3,b13dc3,b13dc3,b14dc3,b16dc3
,,1, None ,,,,,,,,
,,2, Self-educated ,,,,,,,,
,,3, Elementary School ,,,,,,,,
,,4, Junior High School ,,,,,,,,
,,5, Junior Vocational School ,,,,,,,,
,,6, Senior High School (General track) ,,,,,,,,
,,7, Senior High School (Vocational Track) ,,,,,,,,
,,8, Vocational High School ,,,,,,,,
,,9,Junior College (5 years) ,,,,,,,,
,,10, Junior College (2 years) ,,,,,,,,
,,11, Junior College (3 years) ,,,,,,,,
,,12, Technical College ,,,,,,,,
,,13, University or College ,,,,,,,,
,,14,Master Degree ,,,,,,,,
,,15, Doctoral Degree ,,,,,,,,
,,96, Don¡¦t knows ,,,,,,,,
,,97, Others ,,,,,,,,
,,98, Refuse to answer,,,,,,,,
,,99,Missing,,,,,,,,
child4_edu,Children4:The highest education,0, Skip ,b13dc4,b13dc4,b13dc4,b13dc4,b13dc4,b13dc4,b14dc4,b16dc4
,,1, None ,,,,,,,,
,,2, Self-educated ,,,,,,,,
,,3, Elementary School ,,,,,,,,
,,4, Junior High School ,,,,,,,,
,,5, Junior Vocational School ,,,,,,,,
,,6, Senior High School (General track) ,,,,,,,,
,,7, Senior High School (Vocational Track) ,,,,,,,,
,,8, Vocational High School ,,,,,,,,
,,9,Junior College (5 years) ,,,,,,,,
,,10, Junior College (2 years) ,,,,,,,,
,,11, Junior College (3 years) ,,,,,,,,
,,12, Technical College ,,,,,,,,
,,13, University or College ,,,,,,,,
,,14,Master Degree ,,,,,,,,
,,15, Doctoral Degree ,,,,,,,,
,,96, Don¡¦t knows ,,,,,,,,
,,97, Others ( ,,,,,,,,
,,98, Refuse to answer,,,,,,,,
child5_edu,Children5:The highest education,0, Skip ,b13dc5,b13dc5,b13dc5,b13dc5,b13dc5,b13dc5,b14dc5,b16dc5
,,1, None ,,,,,,,,
,,2, Self-educated ,,,,,,,,
,,3, Elementary School ,,,,,,,,
,,4, Junior High School ,,,,,,,,
,,5, Junior Vocational School ,,,,,,,,
,,6, Senior High School (General track) ,,,,,,,,
,,7, Senior High School (Vocational Track) ,,,,,,,,
,,8, Vocational High School ,,,,,,,,
,,9,Junior College (5 years) ,,,,,,,,
,,10, Junior College (2 years) ,,,,,,,,
,,11, Junior College (3 years) ,,,,,,,,
,,12, Technical College ,,,,,,,,
,,13, University or College ,,,,,,,,
,,14,Master Degree ,,,,,,,,
,,15, Doctoral Degree ,,,,,,,,
,,96, Don¡¦t knows ,,,,,,,,
,,97, Others ,,,,,,,,
,,98, Refuse to answer,,,,,,,,
child6_edu,Children6:The highest education,0, Skip ,b13dc6,b13dc6,b13dc6,b13dc6,b13dc6,b13dc6,b14dc6,b16dc6
,,1, None ,,,,,,,,
,,2, Self-educated ,,,,,,,,
,,3, Elementary School ,,,,,,,,
,,4, Junior High School ,,,,,,,,
,,5, Junior Vocational School ,,,,,,,,
,,6, Senior High School (General track) ,,,,,,,,
,,7, Senior High School (Vocational Track) ,,,,,,,,
,,8, Vocational High School ,,,,,,,,
,,9,Junior College (5 years) ,,,,,,,,
,,10, Junior College (2 years) ,,,,,,,,
,,11, Junior College (3 years) ,,,,,,,,
,,12, Technical College ,,,,,,,,
,,13, University or College ,,,,,,,,
,,14,Master Degree ,,,,,,,,
,,15, Doctoral Degree ,,,,,,,,
,,96, Don¡¦t knows ,,,,,,,,
,,97, Others ,,,,,,,,
,,98, Refuse to answer,,,,,,,,
child1_employed,Children1:Dese he/she have a job now?,0,skip,b13ec1,b13ec1,b13ec1,b13ec1,b13ec1,b13ec1,b14lc1,b16lc1
,,1,Yes,,,,,,,,
,,2,No,,,,,,,,
,,6,Don¡¦t knows,,,,,,,,
,,8,Refuse to answer,,,,,,,,
child2_employed,Children2:Dese he/she have a job now?,0, skip ,b13ec2,b13ec2,b13ec2,b13ec2,b13ec2,b13ec2,b14lc2,b16lc2
,,1,Yes ,,,,,,,,
,,2, No ,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
child3_employed,Children3:Dese he/she have a job now?,0, Skip ,b13ec3,b13ec3,b13ec3,b13ec3,b13ec3,b13ec3,b14lc3,b16lc3
,,1,Yes ,,,,,,,,
,,2, No ,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
child4_employed,Children4:Dese he/she have a job now?,0, Skip ,b13ec4,b13ec4,b13ec4,b13ec4,b13ec4,b13ec4,b14lc4,b16lc4
,,1,Yes ,,,,,,,,
,,2, No ,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
child5_employed,Children5:Dese he/she have a job now?,0, Skip ,b13ec5,b13ec5,b13ec5,b13ec5,b13ec5,b13ec5,b14lc5,b16lc5
,,1,Yes ,,,,,,,,
,,2, No ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
child6_employed,Children6:Dese he/she have a job now?,0, Skip ,b13ec6,b13ec6,b13ec6,b13ec6,b13ec6,b13ec6,b14lc6,b16lc6
,,1,Yes ,,,,,,,,
,,2, No ,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
,,9, Missing,,,,,,,,
child1_distance,Children1:The distance of his/her residence from yours?,0,skip ,b13gc1,b13gc1,b13gc1,b13gc1,b13gc1,b13gc1,b14n01,b16p01
,,1,Next door or same building,,,,,,,,
,,2,Not in the same building but within 10 minutes¡¦ walk,,,,,,,,
,,3,Less than 30 minutes¡¦ driving,,,,,,,,
,,4,31~60 minutes¡¦ driving,,,,,,,,
,,5,1~2 hours¡¦ driving,,,,,,,,
,,6,More than 2 hours¡¦ driving,,,,,,,,
,,7,Foreign counry,,,,,,,,
,,8,Live together,,,,,,,,
,,96,Don¡¦t knows,,,,,,,,
,,98,Refuse to answer,,,,,,,,
child2_distance,Children2:The distance of his/her residence from yours?,0, skip ,b13gc2,b13gc2,b13gc2,b13gc2,b13gc2,b13gc2,b14n02,b16p02
,,1, Next door or same building ,,,,,,,,
,,2, Not in the same building but within 10 minutes¡¦ walk ,,,,,,,,
,,3, Less than 30 minutes¡¦ driving ,,,,,,,,
,,4, 31~60 minutes¡¦ driving ,,,,,,,,
,,5, 1~2 hours¡¦ driving ,,,,,,,,
,,6, More than 2 hours¡¦ driving ,,,,,,,,
,,7, Foreign country ,,,,,,,,
,,8, Live together ,,,,,,,,
,,96, Don¡¦t knows ,,,,,,,,
,,98, Refuse to answer,,,,,,,,
,,99,Missing,,,,,,,,
child3_distance,Children3:The distance of his/her residence from yours?,0, Skip ,b13gc3,b13gc3,b13gc3,b13gc3,b13gc3,b13gc3,b14n03,b16p03
,,1, Next door or same building ,,,,,,,,
,,2, Not in the same building but within 10 minutes¡¦ walk ,,,,,,,,
,,3, Less than 30 minutes¡¦ driving ,,,,,,,,
,,4, 31~60 minutes¡¦ driving ,,,,,,,,
,,5, 1~2 hours¡¦ driving ,,,,,,,,
,,6, More than 2 hours¡¦ driving ,,,,,,,,
,,7, Foreign country ,,,,,,,,
,,8, Live together ,,,,,,,,
,,96, Don¡¦t knows ,,,,,,,,
,,98, Refuse to answer,,,,,,,,
child4_distance,Children4:The distance of his/her residence from yours?,0, Skip ,b13gc4,b13gc4,b13gc4,b13gc4,b13gc4,b13gc4,b14n04,b16p04
,,1, Next door or same building ,,,,,,,,
,,2, Not in the same building but within 10 minutes¡¦ walk ,,,,,,,,
,,3, Less than 30 minutes¡¦ driving ,,,,,,,,
,,4, 31~60 minutes¡¦ driving ,,,,,,,,
,,5, 1~2 hours¡¦ driving ,,,,,,,,
,,6, More than 2 hours¡¦ driving ,,,,,,,,
,,7, Foreign country ,,,,,,,,
,,8, Live together ,,,,,,,,
,,96, Don¡¦t knows ,,,,,,,,
,,98, Refuse to answer,,,,,,,,
child5_distance,Children5:The distance of his/her residence from yours?,0, Skip ,b13gc5,b13gc5,b13gc5,b13gc5,b13gc5,b13gc5,b14n05,b16p05
,,1, Next door or same building ,,,,,,,,
,,2, Not in the same building but within 10 minutes¡¦ walk ,,,,,,,,
,,3, Less than 30 minutes¡¦ driving ,,,,,,,,
,,4, 31~60 minutes¡¦ driving ,,,,,,,,
,,5, 1~2 hours¡¦ driving ,,,,,,,,
,,6, More than 2 hours¡¦ driving ,,,,,,,,
,,7, Foreign country ,,,,,,,,
,,8, Live together ,,,,,,,,
,,96, Don¡¦t knows ,,,,,,,,
,,98, Refuse to answer,,,,,,,,
child6_distance,Children6:The distance of his/her residence from yours?,0, Skip ,b13gc6,b13gc6,b13gc6,b13gc6,b13gc6,b13gc6,b14n06,b16p06
,,1, Next door or same building ,,,,,,,,
,,2, Not in the same building but within 10 minutes¡¦ walk ,,,,,,,,
,,3, Less than 30 minutes¡¦ driving ,,,,,,,,
,,4, 31~60 minutes¡¦ driving ,,,,,,,,
,,5, 1~2 hours¡¦ driving ,,,,,,,,
,,6, More than 2 hours¡¦ driving ,,,,,,,,
,,7, Foreign country ,,,,,,,,
,,8, Live together ,,,,,,,,
,,98, Refuse to answer,,,,,,,,
,,99,Missing,,,,,,,,
child1_calls,Children1:How often did you contact with each other last ,0, skip ,b13hc1,b13hc1,b13hc1,b13hc1,b13hc1,b13hc1,b14o01,b16q01
,,1,almost everyday,,,,,,,,
,,2,once or twice per week,,,,,,,,
,,3,once to three times per month,,,,,,,,
,,4,less than once per month,,,,,,,,
,,5,seldom contact on the phone,,,,,,,,
,,96,Don¡¦t knows,,,,,,,,
,,98,Refuse to answer,,,,,,,,
child2_calls,Children2:How often did you contact with each other last,0, skip ,b13hc2,b13hc2,b13hc2,b13hc2,b13hc2,b13hc2,b14o02,b16q02
,,1, almost everyday ,,,,,,,,
,,2, once or twice per week ,,,,,,,,
,,3, once to three times per month ,,,,,,,,
,,4, less than once per month ,,,,,,,,
,,5, seldom contact on the phone ,,,,,,,,
,,96, Don¡¦t knows ,,,,,,,,
,,98, Refuse to answer,,,,,,,,
child3_calls,Children3:How often did you contact with each other last,0, Skip ,b13hc3,b13hc3,b13hc3,b13hc3,b13hc3,b13hc3,b14o03,b16q03
,,1, almost everyday ,,,,,,,,
,,2, once or twice per week ,,,,,,,,
,,3, once to three times per month ,,,,,,,,
,,4, less than once per month ,,,,,,,,
,,5, seldom contact on the phone ,,,,,,,,
,,96, Don¡¦t knows ,,,,,,,,
,,98, Refuse to answer,,,,,,,,
child4_calls,Children4:How often did you contact with each other last,0, Skip ,b13hc4,b13hc4,b13hc4,b13hc4,b13hc4,b13hc4,b14o04,b16q04
,,1, almost everyday ,,,,,,,,
,,2, once or twice per week ,,,,,,,,
,,3, once to three times per month ,,,,,,,,
,,4, less than once per month ,,,,,,,,
,,5, seldom contact on the phone ,,,,,,,,
,,96, Don¡¦t knows ,,,,,,,,
,,98, Refuse to answer,,,,,,,,
child5_calls,Children5:How often did you contact with each other last,0, Skip ,b13hc5,b13hc5,b13hc5,b13hc5,b13hc5,b13hc5,b14o05,b16q05
,,1, almost everyday ,,,,,,,,
,,2, once or twice per week ,,,,,,,,
,,3, once to three times per month ,,,,,,,,
,,4, less than once per month ,,,,,,,,
,,5, seldom contact on the phone ,,,,,,,,
,,98, Refuse to answer,,,,,,,,
child6_calls,Children6:How often did you contact with each other last,0, Skip ,b13hc6,b13hc6,b13hc6,b13hc6,b13hc6,b13hc6,b14o06,b16q06
,,1, almost everyday ,,,,,,,,
,,2, once or twice per week ,,,,,,,,
,,3, once to three times per month ,,,,,,,,
,,4, less than once per month ,,,,,,,,
,,5, seldom contact on the phone ,,,,,,,,
,,98, Refuse to answer,,,,,,,,
,,99,Missing,,,,,,,,
child1_visits,Children1:How often did you contact with each other last year?visits per year,0, skip ,b13ic1,b13ic1,b13ic1,b13ic1,b13ic1,b13ic1,b14q01,b16s01
,,1,almost everyday,,,,,,,,
,,2,once or twice per week,,,,,,,,
,,3,once to three times per month,,,,,,,,
,,4,every 2~3 months,,,,,,,,
,,5,once or twice per year,,,,,,,,
,,6,seldom visit each other,,,,,,,,
,,98,Refuse to answer,,,,,,,,
child2_visits,Children2:How often did you contact with each other last year?visits per year,0, skip ,b13ic2,b13ic2,b13ic2,b13ic2,b13ic2,b13ic2,b14q02,b16s02
,,1, almost everyday ,,,,,,,,
,,2, once or twice per week ,,,,,,,,
,,3, once to three times per month ,,,,,,,,
,,4, every 2~3 months ,,,,,,,,
,,5, once or twice per year ,,,,,,,,
,,6, seldom visit each other ,,,,,,,,
,,98, Refuse to answer,,,,,,,,
child3_visits,Children3:How often did you contact with each other last year?visits per year,0, Skip ,b13ic3,b13ic3,b13ic3,b13ic3,b13ic3,b13ic3,b14q03,b16s03
,,1, almost everyday ,,,,,,,,
,,2, once or twice per week ,,,,,,,,
,,3, once to three times per month ,,,,,,,,
,,4, every 2~3 months ,,,,,,,,
,,5, once or twice per year ,,,,,,,,
,,6, seldom visit each other ,,,,,,,,
,,96, Don¡¦t knows ,,,,,,,,
,,98, Refuse to answer,,,,,,,,
child4_visits,Children4:How often did you contact with each other last year?visits per year,0, Skip ,b13ic4,b13ic4,b13ic4,b13ic4,b13ic4,b13ic4,b14q04,b16s04
,,1, almost everyday ,,,,,,,,
,,2, once or twice per week ,,,,,,,,
,,3, once to three times per month ,,,,,,,,
,,4, every 2~3 months ,,,,,,,,
,,5, once or twice per year ,,,,,,,,
,,6, seldom visit each other ,,,,,,,,
,,96, Don¡¦t knows ,,,,,,,,
,,98, Refuse to answer,,,,,,,,
child5_visits,Children5:How often did you contact with each other last year?visits per year,0, Skip ,b13ic5,b13ic5,b13ic5,b13ic5,b13ic5,b13ic5,b14q05,b16s05
,,1, almost everyday ,,,,,,,,
,,2, once or twice per week ,,,,,,,,
,,3, once to three times per month ,,,,,,,,
,,4, every 2~3 months ,,,,,,,,
,,5, once or twice per year ,,,,,,,,
,,6, seldom visit each other ,,,,,,,,
,,98, Refuse to answer,,,,,,,,
child6_visits,Children6:How often did you contact with each other last year?visits per year,0, Skip ,b13ic6,b13ic6,b13ic6,b13ic6,b13ic6,b13ic6,b14q06,b16s06
,,1, almost everyday ,,,,,,,,
,,2, once or twice per week ,,,,,,,,
,,3, once to three times per month ,,,,,,,,
,,4, every 2~3 months ,,,,,,,,
,,5, once or twice per year ,,,,,,,,
,,6, seldom visit each other ,,,,,,,,
,,98, Refuse to answer,,,,,,,,
,,99,Missing,,,,,,,,
father_health,How is your father current health condition?,1, Very good ,b14a,b14a,b14a,b14a,b14a,b14a,b20af1,b18af1
,,2, Good ,,,,,,,,
,,3, Fair ,,,,,,,,
,,4, Bad ,,,,,,,,
,,5, Very bad ,,,,,,,,
,,6, Has died ,,,,,,,,
,,96, Don¡¦t know,,,,,,,,
,,97, Others ,,,,,,,,
mother_health,How is your mother current health condition?,1, Very good ,b14b,b14b,b14b,b14b,b14b,b14b,b20am1,b18am1
,,2, Good ,,,,,,,,
,,3, Fair ,,,,,,,,
,,4, Bad ,,,,,,,,
,,5, Very bad ,,,,,,,,
,,6, Has died ,,,,,,,,
,,96, Don¡¦t know,,,,,,,,
,,97, Others ,,,,,,,,
help_fromparents," Last year, did your parents provided you (or your spouse) any assistance in liv",0, Skip ,b15a01,b15a01,b15a01,b15a01,b15a01,b15a01,b21a01,b21a01
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,9, Missing,,,,,,,,
help_fromparents_sum," Last year, did your parents provided you (or your spouse) any assistance in liv",0,0000000 Skip ,b15a02,b15a02,b15a02,b15a02,b15a02,b15a02,b21a02,b21a02
,,9999996, Don¡¦t knows ,,,,,,,,
,,9999998, Refuse to answer,,,,,,,,
,,9999999,Missing,,,,,,,,
help_toparents," Last year, did you or your spouse ever provided your parents allowances, living",0, Skip ,b15b01,b15b01,b15b01,b15b01,b15b01,b15b01,b21b01,b21b01
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,9, Missing,,,,,,,,
help_toparents_sum," Last year, did you or your spouse ever provided your parents allowances, living",0,0000000 ¤£¾A¥Î/¸õµª,b15b02,b15b02,b15b02,b15b02,b15b02,b15b02,b21b02,b21b02
,,9999996,9999996 ¤£ª¾¹D,,,,,,,,
,,9999998,9999998 ©Úµª,,,,,,,,
,,9999999,9999999 ¿òº|­È,,,,,,,,
parents_pension," Last year, did your parents have access retirement benefits?",0, Skip ,b15c01,b15c01,b15c01,b15c01,b15c01,b15c01,b21c01,b21c01
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
parents_welfare," Last year, did your parents have access social welfare benefits?",0, Skip ,b15c02,b15c02,b15c02,b15c02,b15c02,b15c02,b21c02,b21c02
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
father_withspouse,Who live with your father now? His spouse?,0, Skip ,b15d01,b15d01,b16a01,b16a01,b16a01,b16a01,b20b01f1,b19a01f1
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
father_withmarriedson,Who live with your father now? Married son?,0, Skip ,b15d02,b15d02,b16a02,b16a02,b16a02,b16a02,b20b02f1,b19a02f1
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
father_withmarrieddaugh,Who live with your father now? Married daughter?,0, Skip ,b15d03,b15d03,b16a03,b16a03,b16a03,b16a03,b20b03f1,b19a03f1
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
father_withson,Who live with your father now? Single son?,0, Skip ,b15d04,b15d04,b16a04,b16a04,b16a04,b16a04,b20b04f1,b19a04f1
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
father_withdaugh,Who live with your father now? Single daughter?,0, Skip ,b15d05,b15d05,b16a05,b16a05,b16a05,b16a05,b20b05f1,b19a05f1
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
father_withsibling,Who live with your father now? Sibling?,0, Skip ,b15d06,b15d06,b16a06,b16a06,b16a06,b16a06,b20b06f1,b19a06f1
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
father_withrelatives,Who live with your father now? Other relatives?,0, Skip ,b15d07,b15d07,b16a07,b16a07,b16a07,b16a07,b20b07f1,b19a07f1
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
